,categories,cuisine
362,"Chicken Shop, Restaurants, Sandwiches, Salad, Soup, Southern",American Cuisine
363,"Breakfast & Brunch, Restaurants, Food, American (Traditional), Grocery",American Cuisine
364,"Restaurants, Burgers, Mediterranean, Poutineries, Donairs, Food",American Cuisine
365,"Cafes, Food, Restaurants, Mexican",South American Cuisine
366,"Seafood, Mexican, Tacos, Chicken Wings, Fish & Chips, Restaurants",South American Cuisine
367,"Pizza, Restaurants, American (Traditional)",European Cuisine
368,"American (Traditional), Fast Food, Burgers, American (New), Restaurants",American Cuisine
369,"Food, Restaurants, American (Traditional), Coffee & Tea",American Cuisine
370,"Asian Fusion, Restaurants",Asian Cuisine
371,"Restaurants, Cajun/Creole, Southern",American Cuisine
372,"Cafes, Restaurants, Automotive, Breakfast & Brunch",American Cuisine
373,"Tex-Mex, Restaurants, Breakfast & Brunch, Fast Food, Mexican, Tacos",South American Cuisine
374,"Restaurants, Coffee & Tea, Food, Cafes, Desserts",Unknown
375,"Ice Cream & Frozen Yogurt, Restaurants, Coffee & Tea, Fast Food, Sandwiches, Food",American Cuisine
376,"Diners, Food, Restaurants",American Cuisine
377,"Cheesesteaks, Sandwiches, Pizza, Restaurants",European Cuisine
378,"Restaurants, Southern, American (Traditional)",American Cuisine
379,"Bakeries, Restaurants, Grocery, Food",Unknown
380,"Restaurants, American (Traditional), Seafood",American Cuisine
381,"Restaurants, Filipino",Asian Cuisine
382,"Sandwiches, Vegan, Bakeries, Food, Desserts, Restaurants",Unknown
383,"American (Traditional), Burgers, Restaurants",American Cuisine
384,"Grocery, Restaurants, Delis, Food, Bakeries",Unknown
385,"Restaurants, Halal, Mediterranean, Middle Eastern",Middle Eastern / African Cuisine
386,"Sandwiches, Seafood, Restaurants, Chinese",Asian Cuisine
387,"Fast Food, Salad, Restaurants, Chicken Wings",American Cuisine
388,"Chicken Wings, Sandwiches, Pizza, Restaurants",European Cuisine
389,"Meat Shops, Specialty Food, Grocery, Food, Delis, Restaurants",Unknown
390,"Restaurants, Italian, Sandwiches, American (New)",European Cuisine
391,"Cafes, Restaurants, Coffee & Tea, Food",Unknown
392,"Restaurants, Caribbean",South American Cuisine
393,"Italian, Restaurants, American (New), Steakhouses, Seafood",European Cuisine
394,"Restaurants, Burgers, Fast Food, Ice Cream & Frozen Yogurt, Food",American Cuisine
395,"Desserts, Restaurants, Fondue, Food, Specialty Food",European Cuisine
396,"Burgers, Food, Restaurants, Ice Cream & Frozen Yogurt",American Cuisine
397,"Food, Diners, Restaurants, Breakfast & Brunch, Coffee & Tea, Bakeries",American Cuisine
398,"Restaurants, Sandwiches, Delis, Salad, Soup",Unknown
399,"Southern, Restaurants, Cafes",American Cuisine
400,"Cheese Shops, Specialty Food, Italian, Grocery, Meat Shops, Restaurants, Food",European Cuisine
401,"American (Traditional), American (New), Restaurants, Chicken Wings",American Cuisine
402,"Fast Food, Restaurants, Breakfast & Brunch, Mexican, Burgers, Tacos",South American Cuisine
403,"Restaurants, Wraps, Waffles, Vegetarian, Coffee & Tea, Food, Vegan, Cafes",American Cuisine
404,"Imported Food, Ethnic Food, Restaurants, American (New), Caribbean, Specialty Food, Food",South American Cuisine
405,"Hot Dogs, Mexican, Pizza, Restaurants",South American Cuisine
406,"Desserts, Chinese, Ethnic Food, Specialty Food, Food, Restaurants, Pizza",Asian Cuisine
407,"Pizza, Italian, Restaurants, American (New), Breakfast & Brunch",European Cuisine
408,"Hot Dogs, Fast Food, Burgers, Restaurants",American Cuisine
409,"Restaurants, Pizza",European Cuisine
410,"Restaurants, Italian, Pizza, Sandwiches",European Cuisine
411,"Food, Coffee & Tea, Sandwiches, Delis, Restaurants",Unknown
412,"Creperies, Restaurants, Desserts, French, Food",European Cuisine
413,"American (Traditional), Gastropubs, Restaurants",American Cuisine
414,"Restaurants, Chinese, Food, Asian Fusion, Vietnamese, Noodles",Asian Cuisine
415,"Restaurants, Chicken Shop, American (Traditional), Fast Food, Seafood",American Cuisine
416,"New Mexican Cuisine, Restaurants, Cafes, Breakfast & Brunch",South American Cuisine
417,"American (Traditional), Breakfast & Brunch, Cheesesteaks, Restaurants",American Cuisine
418,"Mexican, Tacos, Restaurants",South American Cuisine
419,"Seafood, Fast Food, Restaurants, Mediterranean, Chicken Wings, Salad, Greek, American (Traditional), Middle Eastern, Diners, Sandwiches",Middle Eastern / African Cuisine
420,"Restaurants, Chinese, Food, Szechuan",Asian Cuisine
421,"Restaurants, Burgers, Fast Food, Coffee & Tea, Food",American Cuisine
422,"Food, Breakfast & Brunch, Salad, Sandwiches, Bagels, Soup, Restaurants",American Cuisine
423,"Fast Food, Chicken Wings, Restaurants, Chicken Shop",American Cuisine
424,"Local Flavor, Italian, Restaurants, Pizza",European Cuisine
425,"Restaurants, Diners, American (Traditional), Breakfast & Brunch, American (New)",American Cuisine
426,"Restaurants, Middle Eastern, Halal",Middle Eastern / African Cuisine
427,"Chinese, Restaurants, Buffets",Asian Cuisine
428,"Comfort Food, Restaurants, Southern",American Cuisine
429,"Restaurants, Latin American, Fast Food, Salad, Vegetarian, Specialty Food, Food, Ethnic Food",South American Cuisine
430,"Food, Breweries, Restaurants",Unknown
431,"Specialty Food, Pretzels, Food, Bakeries, Restaurants, Hot Dogs",European Cuisine
432,"Russian, Restaurants",Unknown
433,"Burgers, Restaurants, Fast Food, Food, Coffee & Tea",American Cuisine
434,"Mexican, Restaurants, Tex-Mex",South American Cuisine
435,"American (Traditional), Southern, Restaurants, Diners",American Cuisine
436,"Restaurants, Breakfast & Brunch, Diners",American Cuisine
437,"Sandwiches, Fast Food, Restaurants, Chicken Wings, Food, Desserts",American Cuisine
438,"Asian Fusion, Restaurants, Japanese, Chinese, Thai",Asian Cuisine
439,"Seafood, Sandwiches, Hawaiian, Restaurants, Poke, Cuban, Food",Asian Cuisine
440,"Specialty Food, Delis, Sandwiches, Restaurants, Meat Shops, Food",Unknown
441,"Caribbean, Spanish, Restaurants, Chinese, Puerto Rican, Latin American",Asian Cuisine
442,"Restaurants, Argentine",South American Cuisine
443,"Cajun/Creole, American (New), Restaurants",American Cuisine
444,"Spanish, Food Trucks, Chinese, Restaurants, Filipino, Food Stands, Food",Asian Cuisine
445,"Greek, Restaurants, Mediterranean, Seafood",European Cuisine
446,"Salad, Restaurants, Vegetarian",Unknown
447,"Food Stands, Ice Cream & Frozen Yogurt, Shaved Ice, Food, Restaurants, Local Flavor",American Cuisine
448,"Sandwiches, Pizza, Restaurants",European Cuisine
449,"Restaurants, Burgers",American Cuisine
450,"Restaurants, Food, Coffee & Tea, Sandwiches, Delis",Unknown
451,"Mediterranean, Greek, Restaurants",European Cuisine
452,"Restaurants, Seafood, Chinese",Asian Cuisine
453,"Chicken Wings, Restaurants, Pizza",European Cuisine
454,"Salad, Japanese, Restaurants, Steakhouses",Asian Cuisine
455,"Restaurants, Imported Food, Indian, Ethnic Food, Specialty Food, Food",Asian Cuisine
456,"American (New), Diners, Restaurants, Breakfast & Brunch",American Cuisine
457,"Sandwiches, Kebab, Mediterranean, Restaurants, Greek, American (New)",European Cuisine
458,"Trinidadian, Food, Caribbean, Restaurants",South American Cuisine
459,"American (Traditional), Pizza, Salad, Mexican, Sandwiches, Restaurants",South American Cuisine
460,"Moroccan, Restaurants, Mediterranean, Breakfast & Brunch",Middle Eastern / African Cuisine
461,"Restaurants, Vietnamese, Sandwiches",Asian Cuisine
462,"Mexican, Tacos, Restaurants, Latin American",South American Cuisine
463,"Restaurants, Fast Food, Coffee & Tea, Food, Burgers",American Cuisine
464,"Food, Restaurants, Mexican, Specialty Food, Ethnic Food",South American Cuisine
465,"Diners, Vietnamese, Restaurants",Asian Cuisine
466,"American (Traditional), American (New), Restaurants, Food, Breakfast & Brunch, Coffee & Tea",American Cuisine
467,"Restaurants, Pizza, Salad, Sandwiches",European Cuisine
468,"Sandwiches, Food, Coffee & Tea, Restaurants",Unknown
469,"Restaurants, Pizza, American (New), Fast Food",European Cuisine
470,"Restaurants, Seafood, Soup, Chinese",Asian Cuisine
471,"Restaurants, Burgers, Pizza, Italian",European Cuisine
472,"Food, Restaurants, Coffee & Tea, Bakeries, Breakfast & Brunch",American Cuisine
473,"Fast Food, Restaurants, Food, Burgers, Coffee & Tea",American Cuisine
474,"Restaurants, Breakfast & Brunch, Coffee & Tea, Food, Cafes",American Cuisine
475,"Restaurants, Seafood, Chicken Shop",Unknown
476,"Tex-Mex, Restaurants, Seafood, Mexican",South American Cuisine
477,"Restaurants, American (Traditional), Breakfast & Brunch, Food, Diners, Ice Cream & Frozen Yogurt",American Cuisine
478,"Mediterranean, Restaurants, Pizza, Italian",European Cuisine
479,"Restaurants, Ethnic Food, Thai, Asian Fusion, Specialty Food, Food",Asian Cuisine
480,"Restaurants, Wraps, Salad, Fast Food",American Cuisine
481,"Caribbean, Cafes, Restaurants",South American Cuisine
482,"Food, Seafood, Coffee & Tea, Salad, Italian, Cajun/Creole, American (Traditional), Restaurants",European Cuisine
483,"Coffee & Tea, Burgers, Restaurants, Fast Food, Food",American Cuisine
484,"Sandwiches, Restaurants, Steakhouses",American Cuisine
485,"Mediterranean, Egyptian, Restaurants, Sandwiches, Middle Eastern",Middle Eastern / African Cuisine
486,"Restaurants, Donuts, Food, Coffee & Tea, American (Traditional)",American Cuisine
487,"Restaurants, Indian, Pakistani, Halal",Asian Cuisine
488,"Restaurants, Salad, Sandwiches, Fast Food, Delis, Soup",American Cuisine
489,"Breweries, Restaurants, Food",Unknown
490,"Bagels, Bakeries, Food, Salad, Sandwiches, Breakfast & Brunch, Soup, Restaurants",American Cuisine
491,"Bakeries, American (Traditional), Cafes, Coffee & Tea, Food, Restaurants",American Cuisine
492,"Restaurants, Food, Donuts, Bakeries",American Cuisine
493,"Restaurants, Dim Sum, Chinese, Breakfast & Brunch",Asian Cuisine
494,"Cafes, Restaurants, Sandwiches",Unknown
495,"Breakfast & Brunch, Seafood, Buffets, Cafes, Restaurants",American Cuisine
496,"Fish & Chips, Restaurants, Chicken Wings, Mexican",South American Cuisine
497,"Food, Coffee & Tea, Sandwiches, Health & Medical, Hospitals, Restaurants",Unknown
498,"Restaurants, Salad, American (Traditional), Soup, Sandwiches",American Cuisine
499,"Sandwiches, Pizza, Restaurants, Chicken Wings",European Cuisine
500,"Cajun/Creole, Seafood, Restaurants",American Cuisine
501,"Restaurants, Salad",Unknown
502,"Bakeries, Restaurants, Sandwiches, Diners, Food",American Cuisine
503,"Restaurants, Sandwiches, Seafood, Cajun/Creole",American Cuisine
504,"Food, Chinese, Thai, Restaurants, Asian Fusion",Asian Cuisine
505,"Bagels, Bakeries, Soup, Food, Salad, Breakfast & Brunch, Restaurants, Sandwiches",American Cuisine
506,"Fast Food, Restaurants, Chinese",Asian Cuisine
507,"American (Traditional), Sandwiches, Burgers, Fast Food, Restaurants",American Cuisine
508,"Cupcakes, Gluten-Free, Bakeries, Restaurants, Food, Custom Cakes",American Cuisine
509,"Bakeries, Food, Mexican, Restaurants",South American Cuisine
510,"Food, Cafes, Turkish, Bakeries, Breakfast & Brunch, Restaurants, Coffee & Tea",Middle Eastern / African Cuisine
511,"Restaurants, Caribbean, Tacos, Latin American, American (New), Mexican, Tapas/Small Plates",South American Cuisine
512,"Restaurants, Food, Chicken Wings, Desserts, Pizza, Fast Food",European Cuisine
513,"Pizza, Seafood, Salad, Restaurants, Italian",European Cuisine
514,"Salad, Pizza, Italian, Restaurants",European Cuisine
515,"Bagels, Donuts, Restaurants, Food, Coffee & Tea",American Cuisine
516,"Burgers, Fast Food, Restaurants, Food, Coffee & Tea",American Cuisine
517,"Chinese, Asian Fusion, Restaurants, Japanese",Asian Cuisine
518,"American (New), Italian, Cafes, Food, Restaurants",European Cuisine
519,"Asian Fusion, Seafood, Fast Food, Restaurants, Chinese",Asian Cuisine
520,"Breakfast & Brunch, Restaurants, Buffets, Steakhouses, American (New)",American Cuisine
521,"Burgers, American (New), Diners, Breakfast & Brunch, Fish & Chips, Restaurants",American Cuisine
522,"Southern, Restaurants, Chicken Wings",American Cuisine
523,"Sandwiches, Delis, Italian, Restaurants",European Cuisine
524,"American (New), Restaurants, American (Traditional), Breakfast & Brunch, Waffles, Diners",American Cuisine
525,"Breakfast & Brunch, Restaurants, Southern, Soul Food",American Cuisine
526,"American (Traditional), Restaurants, Sandwiches",American Cuisine
527,"Coffee & Tea, Food, Beer, Wine & Spirits, Nightlife, Restaurants, American (Traditional)",American Cuisine
528,"Food, Restaurants, Coffee & Tea, Breakfast & Brunch",American Cuisine
529,"American (Traditional), Soul Food, Comfort Food, Restaurants",American Cuisine
530,"Restaurants, Chinese, Asian Fusion, Thai",Asian Cuisine
531,"Poke, Food, Salad, Sandwiches, Restaurants",Asian Cuisine
532,"Restaurants, Food, Comfort Food",Unknown
533,"Burgers, Food, Fast Food, Restaurants",American Cuisine
534,"Cafes, Spanish, Cuban, Restaurants",South American Cuisine
535,"Asian Fusion, Restaurants, Gluten-Free, Japanese",Asian Cuisine
536,"Breakfast & Brunch, Restaurants, Delis, American (Traditional)",American Cuisine
537,"Halal, Food, Restaurants, Indian",Asian Cuisine
538,"Sandwiches, Food, Restaurants, Coffee & Tea, Fruits & Veggies, Specialty Food",Unknown
539,"Breakfast & Brunch, Burgers, American (Traditional), Southern, Restaurants, American (New)",American Cuisine
540,"Restaurants, Food, Sandwiches, Bakeries, Bagels",Unknown
541,"Thai, Restaurants, Cafes, Delis, Sandwiches",Asian Cuisine
542,"Chicken Shop, Chicken Wings, Fast Food, Restaurants",American Cuisine
543,"Donuts, Restaurants, Coffee & Tea, Food",American Cuisine
544,"Chicken Wings, Fast Food, Chicken Shop, Restaurants",American Cuisine
545,"Breakfast & Brunch, Bakeries, Restaurants, Coffee & Tea, Food",American Cuisine
546,"Noodles, Restaurants, Thai, Food",Asian Cuisine
547,"Food, Bagels, Desserts, Sandwiches, Restaurants, Pizza, Coffee & Tea",European Cuisine
548,"American (Traditional), Fast Food, Chicken Shop, Restaurants, Chicken Wings, Breakfast & Brunch",American Cuisine
549,"Seafood, Restaurants, American (Traditional)",American Cuisine
550,Restaurants,Unknown
551,"Seafood, Restaurants",Unknown
552,"Asian Fusion, Buffets, Chinese, Food, Restaurants",Asian Cuisine
553,"Pizza, Italian, Burgers, Restaurants, Salad",European Cuisine
554,"Italian, Sandwiches, Restaurants, Delis",European Cuisine
555,"Salad, Pizza, Breakfast & Brunch, Sandwiches, American (Traditional), Gluten-Free, Restaurants, Burgers",European Cuisine
556,"Food, Food Trucks, Restaurants, Mexican, Tacos",South American Cuisine
557,"Breakfast & Brunch, American (New), Restaurants, Sandwiches, Delis",American Cuisine
558,"Hot Dogs, Diners, Burgers, Restaurants",American Cuisine
559,"Pizza, Fast Food, Restaurants, Salad",European Cuisine
560,"Restaurants, Cafes, Food",Unknown
561,"Restaurants, Asian Fusion, Chinese, Japanese",Asian Cuisine
562,"Italian, Restaurants, Cafes",European Cuisine
563,"Shanghainese, Chinese, Szechuan, Cantonese, Restaurants",Asian Cuisine
564,"American (Traditional), Seafood, Restaurants, Burgers, Pizza",European Cuisine
565,"Latin American, Tacos, Mexican, New Mexican Cuisine, Restaurants, Vegan, Salvadoran",South American Cuisine
566,"Latin American, Restaurants, Venezuelan",South American Cuisine
567,"Seafood, Sandwiches, Italian, American (Traditional), Restaurants, Chicken Wings",European Cuisine
568,"Latin American, Mexican, Restaurants, Tex-Mex",South American Cuisine
569,"American (New), Breakfast & Brunch, American (Traditional), Restaurants",American Cuisine
570,"Chicken Wings, Restaurants, Pizza, Sandwiches",European Cuisine
571,"Restaurants, Italian, Sandwiches, Pizza, Salad",European Cuisine
572,"Vietnamese, Restaurants, Cambodian",Asian Cuisine
573,"American (New), American (Traditional), Fast Food, Hot Dogs, Restaurants",American Cuisine
574,"Restaurants, Halal, Vegetarian, Pakistani, Indian",Asian Cuisine
575,"Restaurants, Bakeries, Food, Cafes",Unknown
576,"Restaurants, Caribbean, Spanish, Latin American",South American Cuisine
577,"Restaurants, Burgers, American (Traditional)",American Cuisine
578,"Sandwiches, Bakeries, Delis, Food, Restaurants, Pizza",European Cuisine
579,"Chinese, Chicken Wings, Restaurants, Seafood",Asian Cuisine
580,"Restaurants, Bagels, Food, Bubble Tea, Breakfast & Brunch",American Cuisine
581,"Active Life, American (Traditional), Golf, Restaurants, Swimming Pools",American Cuisine
582,"Restaurants, Sandwiches, Chicken Wings, Pizza",European Cuisine
583,"Restaurants, Cajun/Creole, Caribbean",South American Cuisine
